Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,
7,0.239704473191708,0.0989796211082372,YPO2161,YPO3992,YPO0347,YPO3142,YPO0920,YPO0921,YPO3834,,,,,,,,,,,
10,0.240744218986675,0.0949476732928446,YPO2161,YPO0459,YPO3992,YPO0347,YPO2288,YPO3142,YPO2533,YPO1389,YPO1133,YPO0439,,,,,,,,
10,0.259805285866135,0.0517928307968987,YPO0918,YPO2161,YPO0254,YPO2288,YPO1109,YPO3142,YPO1149,YPO1133,YPO0439,YPO0442,,,,,,,,
10,0.240744218986675,0.0949476732903143,YPO2161,YPO0459,YPO3992,YPO0347,YPO2288,YPO3142,YPO2067,YPO3376,YPO0914,YPO0439,,,,,,,,
10,0.184808308829221,0.22158829679197,YPO2161,YPO3992,YPO0347,YPO3080,YPO2552,YPO3142,YPO3520,YPO4056,YPO0914,YPO1133,,,,,,,,
11,0.240744218986675,0.094947673292495,YPO0461,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO3142,YPO2533,YPO1133,YPO0439,YPO0442,,,,,,,
11,0.240744218986689,0.0890012910831501,YPO3949,YPO2161,YPO3992,YPO0347,YPO2288,YPO0436,YPO3142,YPO3358,YPO2533,YPO3376,YPO0442,,,,,,,
11,0.182557914786986,0.226683258138792,YPO1384,YPO2157,YPO0253,YPO2288,YPO2824,YPO1109,YPO3358,YPO3418,YPO0439,YPO2409,YPO2567,,,,,,,
12,0.280752614634432,0.00436743328690647,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO3142,YPO0440,YPO2067,YPO3376,YPO3520,YPO1389,YPO1171,,,,,,
12,0.240744218986675,0.0890012910831501,YPO0461,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO0436,YPO3142,YPO3358,YPO2067,YPO3376,YPO0914,,,,,,
12,0.240744218986675,0.0949476732901156,YPO0461,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO0436,YPO3142,YPO0440,YPO2067,YPO0914,YPO1133,,,,,,
12,0.199449259648214,0.147261876090122,YPO1384,YPO0253,YPO3992,YPO0347,YPO2824,YPO3358,YPO0920,YPO3418,YPO0921,YPO3834,YPO3929,YPO2567,,,,,,
14,0.279633431006473,0.00690129949191397,YPO0461,YPO0918,YPO2161,YPO0254,YPO3032,YPO0465,YPO2288,YPO1109,YPO0436,YPO3142,YPO0440,YPO2533,YPO1133,YPO0442,,,,
17,0.180329593725634,0.00133977139851774,YPO2066,YPO2995,YPO1756,YPO2614,YPO3992,YPO0347,YPO0254,YPO3132,YPO2288,YPO2824,YPO2552,YPO3142,YPO0920,YPO3929,YPO0439,YPO0442,YPO2393,
18,0.246654668618764,0.0815662332845954,YPO2995,YPO1756,YPO2614,YPO3992,YPO0347,YPO0254,YPO0460,YPO3132,YPO3285,YPO2288,YPO0436,YPO3142,YPO0440,YPO2067,YPO1285,YPO0914,YPO3929,YPO2393
